total_bill,tip,sex,smoker,day,time,size,tip_prct,bill_bin,date,Weekday
16.99,1.01,Female,No,Sun,Dinner,2,5.9446733372572105,Medium,2023-01-01,Sunday
10.34,1.66,Male,No,Sun,Dinner,3,16.054158607350097,Medium,2023-01-02,Monday
21.01,3.5,Male,No,Sun,Dinner,3,16.658733936220845,High,2023-01-03,Tuesday
23.68,3.31,Male,No,Sun,Dinner,2,13.97804054054054,High,2023-01-04,Wednesday
24.59,3.61,Female,No,Sun,Dinner,4,14.680764538430255,High,2023-01-05,Thursday
25.29,4.71,Male,No,Sun,Dinner,4,18.62396204033215,High,2023-01-06,Friday
8.77,2.0,Male,No,Sun,Dinner,2,22.80501710376283,Low,2023-01-07,Saturday
26.88,3.12,Male,No,Sun,Dinner,4,11.607142857142858,High,2023-01-08,Sunday
15.04,1.96,Male,No,Sun,Dinner,2,13.031914893617023,Medium,2023-01-09,Monday
14.78,3.23,Male,No,Sun,Dinner,2,21.853856562922868,Medium,2023-01-10,Tuesday
10.27,1.71,Male,No,Sun,Dinner,2,16.65043816942551,Medium,2023-01-11,Wednesday
35.26,5.0,Female,No,Sun,Dinner,4,14.180374361883155,High,2023-01-12,Thursday
15.42,1.57,Male,No,Sun,Dinner,2,10.181582360570687,Medium,2023-01-13,Friday
18.43,3.0,Male,No,Sun,Dinner,4,16.277807921866522,Medium,2023-01-14,Saturday
14.83,3.02,Female,No,Sun,Dinner,2,20.364126770060686,Medium,2023-01-15,Sunday
21.58,3.92,Male,No,Sun,Dinner,2,18.164967562557923,High,2023-01-16,Monday
10.33,1.67,Female,No,Sun,Dinner,3,16.16650532429816,Medium,2023-01-17,Tuesday
16.29,3.71,Male,No,Sun,Dinner,3,22.774708410067525,Medium,2023-01-18,Wednesday
16.97,3.5,Female,No,Sun,Dinner,3,20.624631703005306,Medium,2023-01-19,Thursday
20.65,3.35,Male,No,Sat,Dinner,3,16.222760290556902,High,2023-01-20,Friday
17.92,4.08,Male,No,Sat,Dinner,2,22.767857142857142,Medium,2023-01-21,Saturday
20.29,2.75,Female,No,Sat,Dinner,2,13.553474618038445,High,2023-01-22,Sunday
15.77,2.23,Female,No,Sat,Dinner,2,14.140773620798985,Medium,2023-01-23,Monday
39.42,7.58,Male,No,Sat,Dinner,4,19.228817858954844,High,2023-01-24,Tuesday
19.82,3.18,Male,No,Sat,Dinner,2,16.044399596367306,Medium,2023-01-25,Wednesday
17.81,2.34,Male,No,Sat,Dinner,4,13.138686131386862,Medium,2023-01-26,Thursday
13.37,2.0,Male,No,Sat,Dinner,2,14.958863126402393,Medium,2023-01-27,Friday
12.69,2.0,Male,No,Sat,Dinner,2,15.760441292356187,Medium,2023-01-28,Saturday
21.7,4.3,Male,No,Sat,Dinner,2,19.81566820276498,High,2023-01-29,Sunday
19.65,3.0,Female,No,Sat,Dinner,2,15.267175572519085,Medium,2023-01-30,Monday
9.55,1.45,Male,No,Sat,Dinner,2,15.18324607329843,Low,2023-01-31,Tuesday
18.35,2.5,Male,No,Sat,Dinner,4,13.623978201634875,Medium,2023-02-01,Wednesday
15.06,3.0,Female,No,Sat,Dinner,2,19.9203187250996,Medium,2023-02-02,Thursday
20.69,2.45,Female,No,Sat,Dinner,4,11.841469308844852,High,2023-02-03,Friday
17.78,3.27,Male,No,Sat,Dinner,2,18.391451068616423,Medium,2023-02-04,Saturday
24.06,3.6,Male,No,Sat,Dinner,3,14.962593516209477,High,2023-02-05,Sunday
16.31,2.0,Male,No,Sat,Dinner,3,12.262415695892091,Medium,2023-02-06,Monday
16.93,3.07,Female,No,Sat,Dinner,3,18.13349084465446,Medium,2023-02-07,Tuesday
18.69,2.31,Male,No,Sat,Dinner,3,12.359550561797752,Medium,2023-02-08,Wednesday
31.27,5.0,Male,No,Sat,Dinner,3,15.98976654940838,High,2023-02-09,Thursday
16.04,2.24,Male,No,Sat,Dinner,3,13.965087281795514,Medium,2023-02-10,Friday
17.46,2.54,Male,No,Sun,Dinner,2,14.547537227949597,Medium,2023-02-11,Saturday
13.94,3.06,Male,No,Sun,Dinner,2,21.951219512195124,Medium,2023-02-12,Sunday
9.68,1.32,Male,No,Sun,Dinner,2,13.636363636363638,Low,2023-02-13,Monday
30.4,5.6,Male,No,Sun,Dinner,4,18.421052631578945,High,2023-02-14,Tuesday
18.29,3.0,Male,No,Sun,Dinner,2,16.402405686167302,Medium,2023-02-15,Wednesday
22.23,5.0,Male,No,Sun,Dinner,2,22.492127755285647,High,2023-02-16,Thursday
32.4,6.0,Male,No,Sun,Dinner,4,18.51851851851852,High,2023-02-17,Friday
28.55,2.05,Male,No,Sun,Dinner,3,7.180385288966725,High,2023-02-18,Saturday
18.04,3.0,Male,No,Sun,Dinner,2,16.629711751662974,Medium,2023-02-19,Sunday
12.54,2.5,Male,No,Sun,Dinner,2,19.936204146730464,Medium,2023-02-20,Monday
10.29,2.6,Female,No,Sun,Dinner,2,25.26724975704568,Medium,2023-02-21,Tuesday
34.81,5.2,Female,No,Sun,Dinner,4,14.938236139040505,High,2023-02-22,Wednesday
9.94,1.56,Male,No,Sun,Dinner,2,15.694164989939638,Low,2023-02-23,Thursday
25.56,4.34,Male,No,Sun,Dinner,4,16.97965571205008,High,2023-02-24,Friday
19.49,3.51,Male,No,Sun,Dinner,2,18.009235505387377,Medium,2023-02-25,Saturday
38.01,3.0,Male,Yes,Sat,Dinner,4,7.892659826361484,High,2023-02-26,Sunday
26.41,1.5,Female,No,Sat,Dinner,2,5.679666792881484,High,2023-02-27,Monday
11.24,1.76,Male,Yes,Sat,Dinner,2,15.658362989323843,Medium,2023-02-28,Tuesday
48.27,6.73,Male,No,Sat,Dinner,4,13.942407292314066,Very High,2023-03-01,Wednesday
20.29,3.21,Male,Yes,Sat,Dinner,2,15.82060128141942,High,2023-03-02,Thursday
13.81,2.0,Male,Yes,Sat,Dinner,2,14.482259232440258,Medium,2023-03-03,Friday
11.02,1.98,Male,Yes,Sat,Dinner,2,17.96733212341198,Medium,2023-03-04,Saturday
18.29,3.76,Male,Yes,Sat,Dinner,4,20.55768179332969,Medium,2023-03-05,Sunday
17.59,2.64,Male,No,Sat,Dinner,3,15.008527572484368,Medium,2023-03-06,Monday
20.08,3.15,Male,No,Sat,Dinner,3,15.687250996015937,High,2023-03-07,Tuesday
16.45,2.47,Female,No,Sat,Dinner,2,15.01519756838906,Medium,2023-03-08,Wednesday
3.07,1.0,Female,Yes,Sat,Dinner,1,32.57328990228013,Low,2023-03-09,Thursday
20.23,2.01,Male,No,Sat,Dinner,2,9.935739001482945,High,2023-03-10,Friday
15.01,2.09,Male,Yes,Sat,Dinner,2,13.924050632911392,Medium,2023-03-11,Saturday
12.02,1.97,Male,No,Sat,Dinner,2,16.38935108153078,Medium,2023-03-12,Sunday
17.07,3.0,Female,No,Sat,Dinner,3,17.57469244288225,Medium,2023-03-13,Monday
26.86,3.14,Female,Yes,Sat,Dinner,2,11.69024571854058,High,2023-03-14,Tuesday
25.28,5.0,Female,Yes,Sat,Dinner,2,19.77848101265823,High,2023-03-15,Wednesday
14.73,2.2,Female,No,Sat,Dinner,2,14.935505770536322,Medium,2023-03-16,Thursday
10.51,1.25,Male,No,Sat,Dinner,2,11.893434823977165,Medium,2023-03-17,Friday
17.92,3.08,Male,Yes,Sat,Dinner,2,17.1875,Medium,2023-03-18,Saturday
27.2,4.0,Male,No,Thur,Lunch,4,14.705882352941178,High,2023-03-19,Sunday
22.76,3.0,Male,No,Thur,Lunch,2,13.181019332161686,High,2023-03-20,Monday
17.29,2.71,Male,No,Thur,Lunch,2,15.6737998843262,Medium,2023-03-21,Tuesday
19.44,3.0,Male,Yes,Thur,Lunch,2,15.432098765432098,Medium,2023-03-22,Wednesday
16.66,3.4,Male,No,Thur,Lunch,2,20.408163265306122,Medium,2023-03-23,Thursday
10.07,1.83,Female,No,Thur,Lunch,1,18.17279046673287,Medium,2023-03-24,Friday
32.68,5.0,Male,Yes,Thur,Lunch,2,15.299877600979192,High,2023-03-25,Saturday
15.98,2.03,Male,No,Thur,Lunch,2,12.703379224030037,Medium,2023-03-26,Sunday
34.83,5.17,Female,No,Thur,Lunch,4,14.843525696238874,High,2023-03-27,Monday
13.03,2.0,Male,No,Thur,Lunch,2,15.349194167306218,Medium,2023-03-28,Tuesday
18.28,4.0,Male,No,Thur,Lunch,2,21.88183807439825,Medium,2023-03-29,Wednesday
24.71,5.85,Male,No,Thur,Lunch,2,23.674625657628486,High,2023-03-30,Thursday
21.16,3.0,Male,No,Thur,Lunch,2,14.177693761814744,High,2023-03-31,Friday
28.97,3.0,Male,Yes,Fri,Dinner,2,10.355540214014498,High,2023-04-01,Saturday
22.49,3.5,Male,No,Fri,Dinner,2,15.562472209871055,High,2023-04-02,Sunday
5.75,1.0,Female,Yes,Fri,Dinner,2,17.391304347826086,Low,2023-04-03,Monday
16.32,4.3,Female,Yes,Fri,Dinner,2,26.348039215686274,Medium,2023-04-04,Tuesday
22.75,3.25,Female,No,Fri,Dinner,2,14.285714285714285,High,2023-04-05,Wednesday
40.17,4.73,Male,Yes,Fri,Dinner,4,11.77495643515061,Very High,2023-04-06,Thursday
27.28,4.0,Male,Yes,Fri,Dinner,2,14.662756598240467,High,2023-04-07,Friday
12.03,1.5,Male,Yes,Fri,Dinner,2,12.468827930174564,Medium,2023-04-08,Saturday
21.01,3.0,Male,Yes,Fri,Dinner,2,14.27891480247501,High,2023-04-09,Sunday
12.46,1.5,Male,No,Fri,Dinner,2,12.03852327447833,Medium,2023-04-10,Monday
11.35,2.5,Female,Yes,Fri,Dinner,2,22.026431718061676,Medium,2023-04-11,Tuesday
15.38,3.0,Female,Yes,Fri,Dinner,2,19.505851755526656,Medium,2023-04-12,Wednesday
44.3,2.5,Female,Yes,Sat,Dinner,3,5.643340857787811,Very High,2023-04-13,Thursday
22.42,3.48,Female,Yes,Sat,Dinner,2,15.521855486173058,High,2023-04-14,Friday
20.92,4.08,Female,No,Sat,Dinner,2,19.50286806883365,High,2023-04-15,Saturday
15.36,1.64,Male,Yes,Sat,Dinner,2,10.677083333333332,Medium,2023-04-16,Sunday
20.49,4.06,Male,Yes,Sat,Dinner,2,19.814543679843826,High,2023-04-17,Monday
25.21,4.29,Male,Yes,Sat,Dinner,2,17.017056723522412,High,2023-04-18,Tuesday
18.24,3.76,Male,No,Sat,Dinner,2,20.614035087719298,Medium,2023-04-19,Wednesday
14.31,4.0,Female,Yes,Sat,Dinner,2,27.952480782669458,Medium,2023-04-20,Thursday
14.0,3.0,Male,No,Sat,Dinner,2,21.428571428571427,Medium,2023-04-21,Friday
7.25,1.0,Female,No,Sat,Dinner,1,13.793103448275861,Low,2023-04-22,Saturday
38.07,4.0,Male,No,Sun,Dinner,3,10.506960861570791,High,2023-04-23,Sunday
23.95,2.55,Male,No,Sun,Dinner,2,10.647181628392484,High,2023-04-24,Monday
25.71,4.0,Female,No,Sun,Dinner,3,15.558148580318942,High,2023-04-25,Tuesday
17.31,3.5,Female,No,Sun,Dinner,2,20.219526285384173,Medium,2023-04-26,Wednesday
29.93,5.07,Male,No,Sun,Dinner,4,16.93952555963916,High,2023-04-27,Thursday
10.65,1.5,Female,No,Thur,Lunch,2,14.084507042253522,Medium,2023-04-28,Friday
12.43,1.8,Female,No,Thur,Lunch,2,14.481094127111827,Medium,2023-04-29,Saturday
24.08,2.92,Female,No,Thur,Lunch,4,12.12624584717608,High,2023-04-30,Sunday
11.69,2.31,Male,No,Thur,Lunch,2,19.760479041916167,Medium,2023-05-01,Monday
13.42,1.68,Female,No,Thur,Lunch,2,12.518628912071533,Medium,2023-05-02,Tuesday
14.26,2.5,Male,No,Thur,Lunch,2,17.53155680224404,Medium,2023-05-03,Wednesday
15.95,2.0,Male,No,Thur,Lunch,2,12.539184952978058,Medium,2023-05-04,Thursday
12.48,2.52,Female,No,Thur,Lunch,2,20.192307692307693,Medium,2023-05-05,Friday
29.8,4.2,Female,No,Thur,Lunch,6,14.093959731543624,High,2023-05-06,Saturday
8.52,1.48,Male,No,Thur,Lunch,2,17.370892018779344,Low,2023-05-07,Sunday
14.52,2.0,Female,No,Thur,Lunch,2,13.774104683195592,Medium,2023-05-08,Monday
11.38,2.0,Female,No,Thur,Lunch,2,17.57469244288225,Medium,2023-05-09,Tuesday
22.82,2.18,Male,No,Thur,Lunch,3,9.55302366345311,High,2023-05-10,Wednesday
19.08,1.5,Male,No,Thur,Lunch,2,7.8616352201257875,Medium,2023-05-11,Thursday
20.27,2.83,Female,No,Thur,Lunch,2,13.961519486926493,High,2023-05-12,Friday
11.17,1.5,Female,No,Thur,Lunch,2,13.428827215756492,Medium,2023-05-13,Saturday
12.26,2.0,Female,No,Thur,Lunch,2,16.31321370309951,Medium,2023-05-14,Sunday
18.26,3.25,Female,No,Thur,Lunch,2,17.798466593647316,Medium,2023-05-15,Monday
8.51,1.25,Female,No,Thur,Lunch,2,14.688601645123384,Low,2023-05-16,Tuesday
10.33,2.0,Female,No,Thur,Lunch,2,19.36108422071636,Medium,2023-05-17,Wednesday
14.15,2.0,Female,No,Thur,Lunch,2,14.13427561837456,Medium,2023-05-18,Thursday
16.0,2.0,Male,Yes,Thur,Lunch,2,12.5,Medium,2023-05-19,Friday
13.16,2.75,Female,No,Thur,Lunch,2,20.89665653495441,Medium,2023-05-20,Saturday
17.47,3.5,Female,No,Thur,Lunch,2,20.034344590726963,Medium,2023-05-21,Sunday
34.3,6.7,Male,No,Thur,Lunch,6,19.533527696793005,High,2023-05-22,Monday
41.19,5.0,Male,No,Thur,Lunch,5,12.138868657441128,Very High,2023-05-23,Tuesday
27.05,5.0,Female,No,Thur,Lunch,6,18.484288354898336,High,2023-05-24,Wednesday
16.43,2.3,Female,No,Thur,Lunch,2,13.998782714546559,Medium,2023-05-25,Thursday
8.35,1.5,Female,No,Thur,Lunch,2,17.964071856287426,Low,2023-05-26,Friday
18.64,1.36,Female,No,Thur,Lunch,3,7.296137339055794,Medium,2023-05-27,Saturday
11.87,1.63,Female,No,Thur,Lunch,2,13.732097725358045,Medium,2023-05-28,Sunday
9.78,1.73,Male,No,Thur,Lunch,2,17.68916155419223,Low,2023-05-29,Monday
7.51,2.0,Male,No,Thur,Lunch,2,26.63115845539281,Low,2023-05-30,Tuesday
14.07,2.5,Male,No,Sun,Dinner,2,17.768301350390903,Medium,2023-05-31,Wednesday
13.13,2.0,Male,No,Sun,Dinner,2,15.232292460015232,Medium,2023-06-01,Thursday
17.26,2.74,Male,No,Sun,Dinner,3,15.874855156431053,Medium,2023-06-02,Friday
24.55,2.0,Male,No,Sun,Dinner,4,8.146639511201629,High,2023-06-03,Saturday
19.77,2.0,Male,No,Sun,Dinner,4,10.116337885685383,Medium,2023-06-04,Sunday
29.85,5.14,Female,No,Sun,Dinner,5,17.219430485762143,High,2023-06-05,Monday
48.17,5.0,Male,No,Sun,Dinner,6,10.379904504878555,Very High,2023-06-06,Tuesday
25.0,3.75,Female,No,Sun,Dinner,4,15.0,High,2023-06-07,Wednesday
13.39,2.61,Female,No,Sun,Dinner,2,19.49215832710978,Medium,2023-06-08,Thursday
16.49,2.0,Male,No,Sun,Dinner,4,12.128562765312312,Medium,2023-06-09,Friday
21.5,3.5,Male,No,Sun,Dinner,4,16.27906976744186,High,2023-06-10,Saturday
12.66,2.5,Male,No,Sun,Dinner,2,19.747235387045812,Medium,2023-06-11,Sunday
16.21,2.0,Female,No,Sun,Dinner,3,12.338062924120912,Medium,2023-06-12,Monday
13.81,2.0,Male,No,Sun,Dinner,2,14.482259232440258,Medium,2023-06-13,Tuesday
17.51,3.0,Female,Yes,Sun,Dinner,2,17.133066818960593,Medium,2023-06-14,Wednesday
24.52,3.48,Male,No,Sun,Dinner,3,14.192495921696574,High,2023-06-15,Thursday
20.76,2.24,Male,No,Sun,Dinner,2,10.789980732177264,High,2023-06-16,Friday
31.71,4.5,Male,No,Sun,Dinner,4,14.191106906338694,High,2023-06-17,Saturday
10.59,1.61,Female,Yes,Sat,Dinner,2,15.203021718602455,Medium,2023-06-18,Sunday
10.63,2.0,Female,Yes,Sat,Dinner,2,18.814675446848543,Medium,2023-06-19,Monday
50.81,10.0,Male,Yes,Sat,Dinner,3,19.681165124975397,Very High,2023-06-20,Tuesday
15.81,3.16,Male,Yes,Sat,Dinner,2,19.987349778621127,Medium,2023-06-21,Wednesday
7.25,5.15,Male,Yes,Sun,Dinner,2,71.0344827586207,Low,2023-06-22,Thursday
31.85,3.18,Male,Yes,Sun,Dinner,2,9.98430141287284,High,2023-06-23,Friday
16.82,4.0,Male,Yes,Sun,Dinner,2,23.781212841854934,Medium,2023-06-24,Saturday
32.9,3.11,Male,Yes,Sun,Dinner,2,9.45288753799392,High,2023-06-25,Sunday
17.89,2.0,Male,Yes,Sun,Dinner,2,11.179429849077696,Medium,2023-06-26,Monday
14.48,2.0,Male,Yes,Sun,Dinner,2,13.812154696132598,Medium,2023-06-27,Tuesday
9.6,4.0,Female,Yes,Sun,Dinner,2,41.66666666666667,Low,2023-06-28,Wednesday
34.63,3.55,Male,Yes,Sun,Dinner,2,10.2512272596015,High,2023-06-29,Thursday
34.65,3.68,Male,Yes,Sun,Dinner,4,10.620490620490623,High,2023-06-30,Friday
23.33,5.65,Male,Yes,Sun,Dinner,2,24.21774539219889,High,2023-07-01,Saturday
45.35,3.5,Male,Yes,Sun,Dinner,3,7.717750826901875,Very High,2023-07-02,Sunday
23.17,6.5,Male,Yes,Sun,Dinner,4,28.05351747949935,High,2023-07-03,Monday
40.55,3.0,Male,Yes,Sun,Dinner,2,7.398273736128237,Very High,2023-07-04,Tuesday
20.69,5.0,Male,No,Sun,Dinner,5,24.166263895601737,High,2023-07-05,Wednesday
20.9,3.5,Female,Yes,Sun,Dinner,3,16.74641148325359,High,2023-07-06,Thursday
30.46,2.0,Male,Yes,Sun,Dinner,5,6.5659881812212735,High,2023-07-07,Friday
18.15,3.5,Female,Yes,Sun,Dinner,3,19.28374655647383,Medium,2023-07-08,Saturday
23.1,4.0,Male,Yes,Sun,Dinner,3,17.316017316017316,High,2023-07-09,Sunday
15.69,1.5,Male,Yes,Sun,Dinner,2,9.560229445506693,Medium,2023-07-10,Monday
19.81,4.19,Female,Yes,Thur,Lunch,2,21.150933871781934,Medium,2023-07-11,Tuesday
28.44,2.56,Male,Yes,Thur,Lunch,2,9.0014064697609,High,2023-07-12,Wednesday
15.48,2.02,Male,Yes,Thur,Lunch,2,13.049095607235142,Medium,2023-07-13,Thursday
16.58,4.0,Male,Yes,Thur,Lunch,2,24.12545235223161,Medium,2023-07-14,Friday
7.56,1.44,Male,No,Thur,Lunch,2,19.047619047619047,Low,2023-07-15,Saturday
10.34,2.0,Male,Yes,Thur,Lunch,2,19.342359767891683,Medium,2023-07-16,Sunday
43.11,5.0,Female,Yes,Thur,Lunch,4,11.59823706796567,Very High,2023-07-17,Monday
13.0,2.0,Female,Yes,Thur,Lunch,2,15.384615384615385,Medium,2023-07-18,Tuesday
13.51,2.0,Male,Yes,Thur,Lunch,2,14.803849000740193,Medium,2023-07-19,Wednesday
18.71,4.0,Male,Yes,Thur,Lunch,3,21.378941742383752,Medium,2023-07-20,Thursday
12.74,2.01,Female,Yes,Thur,Lunch,2,15.777080062794347,Medium,2023-07-21,Friday
13.0,2.0,Female,Yes,Thur,Lunch,2,15.384615384615385,Medium,2023-07-22,Saturday
16.4,2.5,Female,Yes,Thur,Lunch,2,15.243902439024392,Medium,2023-07-23,Sunday
20.53,4.0,Male,Yes,Thur,Lunch,4,19.48368241597662,High,2023-07-24,Monday
16.47,3.23,Female,Yes,Thur,Lunch,3,19.611414693381906,Medium,2023-07-25,Tuesday
26.59,3.41,Male,Yes,Sat,Dinner,3,12.82437006393381,High,2023-07-26,Wednesday
38.73,3.0,Male,Yes,Sat,Dinner,4,7.74593338497289,High,2023-07-27,Thursday
24.27,2.03,Male,Yes,Sat,Dinner,2,8.364235681911826,High,2023-07-28,Friday
12.76,2.23,Female,Yes,Sat,Dinner,2,17.476489028213166,Medium,2023-07-29,Saturday
30.06,2.0,Male,Yes,Sat,Dinner,3,6.653359946773121,High,2023-07-30,Sunday
25.89,5.16,Male,Yes,Sat,Dinner,4,19.930475086906142,High,2023-07-31,Monday
48.33,9.0,Male,No,Sat,Dinner,4,18.6219739292365,Very High,2023-08-01,Tuesday
13.27,2.5,Female,Yes,Sat,Dinner,2,18.839487565938207,Medium,2023-08-02,Wednesday
28.17,6.5,Female,Yes,Sat,Dinner,3,23.074192403265883,High,2023-08-03,Thursday
12.9,1.1,Female,Yes,Sat,Dinner,2,8.527131782945736,Medium,2023-08-04,Friday
28.15,3.0,Male,Yes,Sat,Dinner,5,10.657193605683837,High,2023-08-05,Saturday
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94219154443486,Medium,2023-08-06,Sunday
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6046511627907,Low,2023-08-07,Monday
30.14,3.09,Female,Yes,Sat,Dinner,4,10.252156602521566,High,2023-08-08,Tuesday
12.16,2.2,Male,Yes,Fri,Lunch,2,18.092105263157894,Medium,2023-08-09,Wednesday
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93144560357675,Medium,2023-08-10,Thursday
8.58,1.92,Male,Yes,Fri,Lunch,1,22.377622377622377,Low,2023-08-11,Friday
15.98,3.0,Female,No,Fri,Lunch,3,18.773466833541928,Medium,2023-08-12,Saturday
13.42,1.58,Male,Yes,Fri,Lunch,2,11.773472429210134,Medium,2023-08-13,Sunday
16.27,2.5,Female,Yes,Fri,Lunch,2,15.365703749231715,Medium,2023-08-14,Monday
10.09,2.0,Female,Yes,Fri,Lunch,2,19.821605550049554,Medium,2023-08-15,Tuesday
20.45,3.0,Male,No,Sat,Dinner,4,14.66992665036675,High,2023-08-16,Wednesday
13.28,2.72,Male,No,Sat,Dinner,2,20.481927710843376,Medium,2023-08-17,Thursday
22.12,2.88,Female,Yes,Sat,Dinner,2,13.019891500904157,High,2023-08-18,Friday
24.01,2.0,Male,Yes,Sat,Dinner,4,8.329862557267804,High,2023-08-19,Saturday
15.69,3.0,Male,Yes,Sat,Dinner,3,19.120458891013385,Medium,2023-08-20,Sunday
11.61,3.39,Male,No,Sat,Dinner,2,29.198966408268735,Medium,2023-08-21,Monday
10.77,1.47,Male,No,Sat,Dinner,2,13.649025069637883,Medium,2023-08-22,Tuesday
15.53,3.0,Male,Yes,Sat,Dinner,2,19.31745009658725,Medium,2023-08-23,Wednesday
10.07,1.25,Male,No,Sat,Dinner,2,12.413108242303872,Medium,2023-08-24,Thursday
12.6,1.0,Male,Yes,Sat,Dinner,2,7.936507936507936,Medium,2023-08-25,Friday
32.83,1.17,Male,Yes,Sat,Dinner,2,3.563813585135547,High,2023-08-26,Saturday
35.83,4.67,Female,No,Sat,Dinner,3,13.033770583310075,High,2023-08-27,Sunday
29.03,5.92,Male,No,Sat,Dinner,3,20.39269720978298,High,2023-08-28,Monday
27.18,2.0,Female,Yes,Sat,Dinner,2,7.358351729212656,High,2023-08-29,Tuesday
22.67,2.0,Male,Yes,Sat,Dinner,2,8.822232024702249,High,2023-08-30,Wednesday
17.82,1.75,Male,No,Sat,Dinner,2,9.820426487093153,Medium,2023-08-31,Thursday
18.78,3.0,Female,No,Thur,Dinner,2,15.974440894568689,Medium,2023-09-01,Friday
